wave,only_means,message,prevent,condemn,justified,mate_compete,job_compete,life_satisfaction,excess_males,age,age_group,gender,state,citizenship,marital,religion,eduyrs,occupation,income,household_size,self_econ,distance_ref,settle_ref,left_right,afd,muslim_att,afd_att,contact_att,list,treatment_list,outcome_list,ref_integrating,ref_citizenship,ref_reduce,ref_moredone,ref_cultgiveup,ref_economy,ref_crime,ref_terror,ref_loc_services,ref_loc_economy,ref_loc_crime,ref_loc_culture,ref_loc_islam,ref_loc_schools,ref_loc_housing,ref_loc_wayoflife
2,1,1,1,2,1,NA,NA,NA,NA,41,40-49,Female,Rheinland-Pfalz,1,"Single, without partner",Protestant,12,Employee in low / medium position,"1,000 to below 1,500 <80>",1,0 ( BOTTOM ),3-5 kilometers,250 <96> 499,1,10,0.875,1,0.5,2,NA,NA,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4
2,1,1,1,2,1,NA,NA,NA,NA,27,18-29,Female,Sachsen,1,"Single, without partner","No, I don't feel close to any religion",12,Employee in low / medium position,"1,000 to below 1,500 <80>",1,4,3-5 kilometers,1000 and more,6,2,0.125,0.3333333333333333,0.3333333333333333,1,Scenario 1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,3,2,2
2,2,1,1,2,1,NA,NA,NA,NA,42,40-49,Female,Nordrhein-Westfalen,1,Married,Roman Catholic,12,Civil servant,"4,000 to below 4,500 <80>",4,7,3-5 kilometers,50 <96> 249,5,5,0.125,0,0,1,Scenario 1,2,3,3,3,2,2,2,2,3,3,3,2,3,2,3,3,3
2,NA,1,1,1,1,NA,NA,NA,NA,28,18-29,Female,Rheinland-Pfalz,1,"With partner, not living together",Roman Catholic,15,Employee in low / medium position,"1,500 to below 2,000 <80>",1,7,3-5 kilometers,250 <96> 499,3,1,0.25,0.3333333333333333,0,1,Scenario 2,2,3,2,2,2,3,2,2,2,3,2,2,2,1,3,2,2
2,1,2,2,1,2,NA,NA,NA,NA,48,40-49,Male,Bayern,1,Married,Protestant,16,Skilled worker,"2,500 to below 3,000 <80>",3,7,6-10 kilometers,50 <96> 249,5,3,1,0.6666666666666666,0.3333333333333333,2,NA,NA,4,4,4,4,1,4,4,4,4,4,4,4,1,4,1,4
2,2,3,3,2,3,NA,NA,NA,NA,64,60 and older,Male,Bayern,1,Widowed,"No, I don't feel close to any religion",10,Retired,"1,000 to below 1,500 <80>",2,5,Less than 3 kilometer,1 <96> 49,5,11,0.75,0,0.16666666666666666,1,Scenario 1,1,2,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2
2,1,1,1,2,1,NA,NA,NA,NA,48,40-49,Male,Niedersachsen,1,"With partner, living together","No, I don't feel close to any religion",18,Skilled worker,"3,000 to below 3,500 <80>",2,8,More than 50 kilometer,50 <96> 249,4,0,0,0,0.16666666666666666,2,NA,NA,2,2,2,2,2,3,1,1,3,3,1,2,2,2,2,3
2,2,2,2,3,3,NA,NA,NA,NA,24,18-29,Female,Th<fc>ringen,1,"Single, without partner","No, I don't feel close to any religion",13,Employee in low / medium position,"1,500 to below 2,000 <80>",1,2,6-10 kilometers,50 <96> 249,5,11,0.625,1,0.5,2,NA,NA,4,3,3,4,4,2,3,3,4,3,4,4,1,3,3,3
2,1,1,1,1,1,NA,NA,NA,NA,46,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",14,Unemployed / seeking work,"500 to below 1,000 <80>",1,5,3-5 kilometers,50 <96> 249,5,0,0.875,0,0,2,NA,NA,3,3,4,2,3,2,2,2,2,2,2,2,4,3,2,3
2,2,1,1,2,1,NA,NA,NA,NA,59,50-59,Male,Sachsen,1,"With partner, living together","No, I don't feel close to any religion",17,Employee in low / medium position,"2,500 to below 3,000 <80>",2,6,6-10 kilometers,1 <96> 49,4,0,0.75,0.3333333333333333,0.8333333333333334,2,NA,NA,3,4,4,3,3,3,3,2,3,3,3,2,3,4,3,3
