res_id,gender,age,MateComp.cont,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn
413687849,Male,53,4,3,2,2,2
421293544,Female,57,1,1,1,1,1
441067147,Female,41,1,1,1,1,1
487884642,Female,53,2,1,2,2,2
433866743,Male,52,1,4,4,3,1
437589043,Female,71,2,2,1,2,2
437757248,Female,34,3,2,1,3,1
443177848,Female,67,2,3,2,2,2
443207343,Male,24,3,3,3,2,3
477709148,Male,69,2,1,1,1,3
477735541,Female,24,2,3,2,1,3
477789740,Female,29,1,1,1,1,2
447342448,Male,68,2,2,2,2,1
487019140,Male,49,1,1,1,1,1
493894740,Female,46,2,2,1,1,2
483797749,Male,56,1,1,1,1,4
424748140,Male,51,1,2,2,1,2
473600343,Female,36,1,1,1,1,1
441474545,Male,28,3,2,1,1,2
427851140,Female,24,1,2,1,1,1
464284241,Female,36,1,2,2,2,2
403534046,Male,68,2,1,1,2,2
407071247,Female,32,1,1,1,1,1
411084048,Male,64,1,3,2,2,2
411700040,Female,31,2,1,1,1,2
413487448,Female,50,2,2,1,2,2
451221544,Male,36,1,1,1,1,1
414244647,Female,42,1,2,1,1,2
414972045,Male,59,2,2,1,2,2
417575743,Female,48,2,1,1,1,2
487774340,Male,60,3,3,4,2,2
421664441,Female,46,2,1,2,2,2
423387742,Male,64,2,1,1,1,1
423927040,Male,52,1,2,2,2,2
427044744,Female,61,3,1,1,1,1
497638346,Female,68,2,2,2,1,2
464609542,Male,68,1,3,1,1,1
433387843,Male,52,4,4,4,4,3
433497447,Female,34,2,2,4,3,2
441770849,Male,26,1,3,1,1,2
441920547,Male,25,2,2,2,2,1
401176342,Male,37,2,2,1,1,2
401610542,Male,22,1,1,1,1,1
437755041,Female,52,2,2,3,2,4
403487446,Male,51,2,1,1,1,2
481466641,Female,67,2,1,2,1,1
407012243,Female,43,1,2,1,1,2
487669446,Male,38,3,2,3,3,3
477386645,Female,27,1,1,1,1,4
433308141,Female,65,2,1,1,1,1
